"D07526" "D07527" "D07528" "D07529" "D07530" "D07531" "D07532" "D07533" "D07534" "D07535" "D07536" "D07537" "D07538" "D07539" "D07540" "D07541" "D07542" "D07543" "D07544" "D07545" "D07546" "D07547" "D07548" "D07549" "D07550" "D07551" "D07552"
"Elusimicrobium" 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae NC2004 group" 0 0 0 0 0 0 18 14 17 0 0 13 0 18 0 0 12 20 30 11 0 20 17 3 0 0 0
"Methanocorpusculum" 0 0 0 0 0 0 99 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sharpea" 0 0 0 0 0 0 67 0 43 0 0 438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acidibacter" 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacillus" 0 0 0 0 0 0 0 18 11 0 0 0 12 0 0 0 0 0 0 0 0 192 3 0 0 0 0
"Bryobacter" 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chujaibacter" 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Granulicella" 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hoa5-07d05 gut group" 0 0 0 0 0 0 0 6 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Solibacillus" 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Streptacidiphilus" 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured Acidobacteria bacterium" 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured Clostridiales bacterium" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured Rubrobacterales bacterium" 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aliiroseovarius" 0 0 0 0 0 0 0 0 14 0 0 10 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candidatus Alysiosphaera" 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coxiella" 0 0 0 0 0 0 0 0 7 0 6 9 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudoalteromonas" 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Victivallis" 0 0 0 0 0 0 0 0 27 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 6" 0 0 0 0 0 0 0 0 0 6 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erythrobacter" 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCA-900066225" 0 0 0 0 0 0 0 0 0 9 0 0 0 20 0 11 0 0 0 0 0 0 17 0 0 0 0
"Lachnospiraceae UCG-003" 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 10 44 0 0
"Marinospirillum" 0 0 0 0 0 0 0 0 0 69 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oceanisphaera" 0 0 0 0 0 0 0 0 0 59 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paenalcaligenes" 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paenibacillus" 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paracoccus" 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rhodococcus" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0
"Ruminobacter" 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae V9D2013 group" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 8 0 16 0 0 6 0 4 0 0 0
"SAR92 clade" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Succinatimonas" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Succinivibrio" 0 0 0 0 0 0 0 0 0 157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sulfitobacter" 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SUP05 cluster" 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella 3" 0 0 0 0 0 0 0 0 0 18 0 0 0 5 5 0 0 0 0 57 0 36 11 0 0 10 0
"uncultured marine bacterium" 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured marine microorganism" 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"unidentified rumen bacterium RFN41" 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASF356" 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gilliamella" 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oligella" 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adhaeribacter" 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cutibacterium" 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gordonibacter" 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Knoellia" 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-003" 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0
"Taeseokella" 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Thiothrix" 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Desulfovibrio" 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured Sorangiineae bacterium" 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Ruminococcus] gnavus group" 0 0 0 0 0 0 0 0 0 0 0 0 0 11 26 46 23 0 131 0 134 0 0 16 24 28 6
"Acetobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aeromicrobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 7 0 0 0 0 0 0
"Afipia" 0 0 0 0 0 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 27 11 0 0 0 0 0
"Aminobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 34 0 0 0 0 0 0
"Carnobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 5 0 0 0 0
"Conyzicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0
"Devosia" 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dokdonella" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 6 0 0 0 0 0 0
"Enterobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 13 241 47 17 0 332 29 0 60 0 159 41 33 0
"Enterococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 202 0 31 0 154 95 90 0 0 174 0 19 12 0
"Hydrotalea" 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 17 0 0 0 0 0 0
"Leucobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 8 0 0 0 0
"Mesorhizobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nitratireductor" 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ochrobactrum" 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 31 0 6 0 0 0 0
"Phyllobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 8 0 0 0 0 0 0
"Plantibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudochrobactrum" 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 9 0 0 0 13 0 30 93 0 9 12 0
"Sanguibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 5 0 6 0 0
"Sphingopyxis" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"Syntrophococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 12 0 0 0 0 0 0 20 64 13 0 0
"Thermoanaerobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 246 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured organism" 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 57 0 0 46 0 0 0 0 4 0 17 0
"Collinsella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 75 21 7 0 0 0 8 0 0 41 18 9
"Flavonifractor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 31 13 0 0 0 0 0 0 0 0 0
"Fusicatenibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 41 32 64 9 25 9 24 7 0 0 16
"GCA-900066755" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0
"Raoultella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 0 0 0 0 0 0 0 0 45 0 0 0
"Sanguibacteroides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 9 0 0 0 0 0 0 0 0 0 0 0
"Subdoligranulum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 52 16 9 0 36 15 30 23 7 33 35 5
"Haemophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae ND3007 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 9 0 0 0 0 0 0 0 0 0 0
"Sellimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 15 26 0 0 0 0 0 0 0 0
"Staphylococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 5 0 0
"Citrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
"Dialister" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 19 0 0 0 0 0 0 0 0 8
"Holdemanella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
"Klebsiella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 25 0 0 0 0 0 0 0 0 23
"Lachnospiraceae UCG-006" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0
"Lactococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 17
"Barnesiella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 77 0 0 0 0 0 0 0 0
"Clostridioides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 15 0 0 0 0
"Erysipelotrichaceae UCG-003" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 18 0 0 0 0 0 0 0
"Oscillospira" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 31 0 0 0 0 0 0
"Lysinibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0
"Aminobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0
"Bilophila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 6 0
"Brochothrix" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0
"Proteiniphilum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0
"Sedimentibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0
"Syntrophomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0
"Anaerofustis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 9 0 0 0
"Caproiciproducens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 5
"Comamonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0
"Mycetocola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0
"Psychrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0
"Tepidimicrobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
"Weissella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0
"XBB1006" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 11 30 0 0
"[Eubacterium] fissicatena group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0
"Adlercreutzia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0
"Butyricicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"Hymenobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"Howardella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0
"Spathiphyllum wallisii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 378 0
"Lachnoclostridium 5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
