"D13559" "D13560" "D13561" "D13562" "D13563" "D13564" "D13565" "D13566" "D13567" "D13568" "D13569" "D13570" "D13571" "D13572" "D13573" "D13575" "D13577" "D13579" "D13580" "D13581" "D13582" "D13583" "D13584" "D13586" "D13587" "D13588" "D13589" "D13591" "D13592" "D13594" "D13595" "D13596" "D13598"
"Lachnospiraceae UCG-007" 0 0 0 0 0 586 0 0 0 0 0 0 175 0 36 0 0 0 0 0 0 0 0 170 66 230 0 0 0 285 3 0 35
"Peptococcus" 0 0 0 0 0 108 0 33 0 0 0 0 0 0 67 0 0 0 0 0 176 97 47 418 89 261 248 32 468 0 6 28 273
"Turicibacter" 0 0 0 0 0 86 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erysipelotrichaceae UCG-004" 0 0 0 0 0 0 86 103 0 0 0 0 0 0 148 0 0 13 0 0 517 3226 383 848 250 323 0 111 116 117 16 0 171
"Holdemania" 0 0 0 0 0 0 37 102 0 0 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Howardella" 0 0 0 0 0 0 57 0 0 37 0 0 0 0 11 0 0 0 0 76 0 0 0 0 0 0 0 0 28 0 0 0 0
"Leuconostoc" 0 0 0 0 0 0 108 0 0 0 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methanocorpusculum" 0 0 0 0 0 0 193 0 0 0 0 0 0 0 650 1273 756 36 183 306 1704 557 1204 1323 560 1272 1927 624 1374 808 117 862 767
"Ruminiclostridium 5" 0 0 0 0 0 0 64 0 25 0 2471 0 40 0 151 70 0 11 52 123 291 171 212 1205 301 807 205 54 320 0 0 0 208
"Ruminococcaceae UCG-003" 0 0 0 0 0 0 105 0 0 0 0 113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphaerochaeta" 0 0 0 0 0 0 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella 3" 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Victivallis" 0 0 0 0 0 0 963 80 0 20 0 174 0 218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerofilum" 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Caldicoprobacter" 0 0 0 0 0 0 0 41 85 0 0 0 0 289 70 240 193 0 36 134 103 0 0 0 14 0 88 0 31 70 15 0 0
"Enterorhabdus" 0 0 0 0 0 0 0 186 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Family XIII UCG-001" 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 23 0 12 20 0
"Odoribacter" 0 0 0 0 0 0 0 41 0 146 0 0 156 113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] ruminantium group" 0 0 0 0 0 0 0 0 49 0 0 197 0 0 67 0 0 12 0 0 159 100 0 479 92 477 601 305 361 421 23 145 1470
"Alloprevotella" 0 0 0 0 0 0 0 0 45 0 0 144 0 0 0 145 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-012" 0 0 0 0 0 0 0 0 47 0 0 173 0 365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella 4" 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 8 36 57
"Anaerovibrio" 0 0 0 0 0 0 0 0 0 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 4 0 0
"[Eubacterium] brachy group" 0 0 0 0 0 0 0 0 0 0 504 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Actinomyces" 0 0 0 0 0 0 0 0 0 0 146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerotruncus" 0 0 0 0 0 0 0 0 0 0 2065 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerovorax" 0 0 0 0 0 0 0 0 0 0 1133 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Corynebacterium" 0 0 0 0 0 0 0 0 0 0 152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cuneatibacter" 0 0 0 0 0 0 0 0 0 0 169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Defluviitaleaceae UCG-011" 0 0 0 0 0 0 0 0 0 0 660 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eisenbergiella" 0 0 0 0 0 0 0 0 0 0 2081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eubacterium" 0 0 0 0 0 0 0 0 0 0 824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCA-900066225" 0 0 0 0 0 0 0 0 0 0 105 0 0 0 0 0 0 0 0 13 0 0 0 154 63 68 54 45 0 0 0 19 139
"GCA-900066755" 0 0 0 0 0 0 0 0 0 0 1278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gordonibacter" 0 0 0 0 0 0 0 0 0 0 55 0 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae FE2018 group" 0 0 0 0 0 0 0 0 0 0 86 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lawsonella" 0 0 0 0 0 0 0 0 0 0 1078 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methanomassiliicoccus" 0 0 0 0 0 0 0 0 0 0 344 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Murimonas" 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] ventriosum group" 0 0 0 0 0 0 0 0 0 0 0 109 21 0 29 46 0 0 76 61 0 0 0 0 0 0 0 0 0 0 0 0 82
"Clostridium sensu stricto 6" 0 0 0 0 0 0 0 0 0 0 0 93 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Lachnospiraceae ND3007 group" 0 0 0 0 0 0 0 0 0 0 0 212 564 0 18 0 0 0 0 0 60 61 92 0 30 124 31 0 0 0 0 0 95
"Candidatus Stoquefichus" 0 0 0 0 0 0 0 0 0 0 0 0 81 0 0 0 0 15 0 78 0 0 0 0 0 0 0 0 0 0 0 0 0
"Succinivibrio" 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella" 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 54 56 0 0 8 0 46
"Anaerocella" 0 0 0 0 0 0 0 0 0 0 0 0 0 22483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-002" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 71 95 0 122 24 76 87 0 55 0 0 0 0
"Oscillospira" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0
"S5-A14a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 42 0 0 0 0 89 29 0 0 0 98
"Sarcina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85 0 0 0 0 0 174 293 390 0 0 52 79 72 271 29 0 39 97
"Elusimicrobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 308 375 68 140 196 0 0 0 0 0 0 0 0 0 0 0 0 0
"hoa5-07d05 gut group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125 157 0 130 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"horsej-a03" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-001" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81 86 21 43 113 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-009" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 171 164 15 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Negativibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 69 53 228 70 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotellaceae Ga6A1 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 56 14 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acetitomaculum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81 525 0 40 0 40 0 0 11 0 40 0 57 24 0 180 210
"[Anaerorhabdus] furcosa group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0
"Butyrivibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Catenisphaera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 36 0 0 0 0 358 0 0 0 0 82 106
"Lachnospiraceae NK3A20 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Olsenella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Syntrophococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dorea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-006" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 91 0 26 0 0 0 0 0 0 0 0 0 0 0
"Cerasicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-010" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 72 0 0 17 0 0 0 43 0 4 0 37
"Fonticella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 0 156 60 107 0 56 42 103 0 198 106
"Pasteurella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 193 0 0 0 0 0 20 0 0 4 0 0
"[Ruminococcus] gnavus group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 75 6 0 101
"Actinobacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 0 27
"Muribacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0
"Prevotella 7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 41 185
"Veillonella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 20 22 0 62 0
"Cloacibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125 0 0 0 0
"Anaerobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70 0 68 0
"Tannerella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 10 0 0
"Mycobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42
"Pseudonocardia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61
